Factor,Intercept_Ann%,Intercept_t,R2,SMB,SMB_t,HML,HML_t,RMW,RMW_t,CMA,CMA_t,MKT,MKT_t
MKT,9.405653231943573,5.223705128399206,0.19973266917326715,0.295464584513987,5.633867056612501,0.08990749192689503,1.3073760875906826,-0.2538597771507536,-3.5397444167689964,-0.8169844414162016,-8.238144052732158,,
SMB,2.652799327984622,2.1157528555244243,0.18221792587130803,,,0.1702578353276115,3.637221391033156,-0.4438904222136647,-9.474557021011334,-0.18890127942914958,-2.670649023346765,0.13901898268955032,5.633867056612504
HML,-0.6082642182989645,-0.621938402970053,0.48498061272156867,0.1030217493896755,3.6372213910331213,,,0.17832275811847378,4.689195489196992,1.0167463461348105,24.944908714396707,0.025596840923808234,1.3073760875906946
RMW,4.451641742097298,4.8554615611690375,0.16056990153247241,-0.24342360826620416,-9.474557021011329,0.16161135859980086,4.689195489197039,,,-0.24491310480068912,-4.722919999938652,-0.065501235176711,-3.5397444167689938
CMA,2.6829518551118086,4.175641769630548,0.5268910988841674,-0.050468487595576005,-2.670649023346761,0.4489274881904154,24.944908714396707,-0.11931924414316576,-4.722919999938657,,,-0.102699386859142,-8.238144052732158
