Factor,Intercept_Ann%,Intercept_t,R2,SMB,SMB_t,HML,HML_t,RMW,RMW_t,CMA,CMA_t,UMD,UMD_t,MKT,MKT_t
MKT,10.525765969667837,5.865106683874572,0.22121733823954348,0.29014921066034777,5.603077378311189,0.007616659781677246,0.10836584364128815,-0.22104942077972958,-3.1060671182898054,-0.7415451157080245,-7.466946924308206,-0.16317351384808212,-4.518268724433136,,
SMB,2.587790202903549,2.0329515659583715,0.18231877221348536,,,0.17400087535761086,3.5913777885446145,-0.4450606420612988,-9.461463859583878,-0.1913993325346679,-2.6860364481467682,0.007689199376400759,0.3021022232588158,0.14026693982758942,5.603077378311193
HML,0.5483925219229746,0.5712605740129404,0.5184610914395565,0.09845428245226609,3.5913777885446105,,,0.18788643288311926,5.102757437944048,0.9941953892097035,25.12860599401371,-0.1327992033767977,-7.1729201689057245,0.002083443195747367,0.10836584364130515
RMW,4.072076859864553,4.377541429648362,0.1661347955594703,-0.2424772429841438,-9.461463859583871,0.18091061010026474,5.102757437944034,,,-0.2569347995753879,-4.940942404409611,0.04161327709685342,2.22226774670672,-0.05822038932339916,-3.1060671182898125
CMA,2.2979263123709686,3.5360166370817963,0.5333194794952726,-0.05044729957324319,-2.6860364481467984,0.46311203909601695,25.128605994013714,-0.1242992874459012,-4.940942404409604,,,0.04143704950263089,3.1926904584445626,-0.0944863368475091,-7.466946924308171
UMD,8.412057868643563,4.628692344058295,0.10190458576828842,0.016037676236984218,0.3021022232588179,-0.4895224473334842,-7.172920168905724,0.159309048197601,2.2222677467067213,0.3279077183998989,3.1926904584445546,,,-0.16452955174171482,-4.518268724433134
