,alpha,tstat
NoDur,-0.0011260052895180558,-1.4099295103449694
Durbl,-0.002201169696554757,-1.2152622302185412
Manuf,-0.0021308031718689003,-3.5767141208463555
Enrgy,-0.0015903057681120449,-0.9477562318638111
HiTec,0.003964705849057674,4.004437176449491
Telcm,-4.326840383712859e-05,-0.037455053445304996
Shops,-2.7597273384126704e-05,-0.03041949002899962
Hlth,0.0014117449715972583,1.2724798161020394
Utils,-0.0005350709201008346,-0.45769339917364216
Other,-0.0019021055057665006,-3.122424960952177
